"crime_index","property_price_to_income_ratio",traffic_co2_index
49.561294088735345,27.732104690819273,6474.28571429
57.35294117647059,19.9468085106383,13965
42.05182072829131,16.897233201581027,1500
52.720588235294116,18.4,266
42.05182072829131,16.897233201581027,1500
43.60791511506059,6.235663106497721,6513.67901235
25.65359477124183,7.166890982503364,2616.66666667
34.92997198879552,4.115346069559692,8536.18181818
56.290849673202615,2.1135392765354495,7085.27272727
50.740680887739714,12.488517929694401,1824
20.845221473522333,4.121757363093707,5564.61538462
30.925447101917683,7.186549812198176,2660
42.358098037337975,2.226695964668855,5805.31428571
67.23516602771663,13.47515574403859,5554
30.407718905523076,12.542459956641776,2126.55555556
51.98580241775757,18.88526145299233,3135.33333333
82.55718954248366,8.727272727272727,7980
47.79692549599292,3.0611354107742894,9439.58974359
66.31846477247888,4.204908099193823,6079.33333333
49.01937059965715,9.291445608127626,6901.2
44.138913015050555,11.2281798498869,3210.94545455
27.592842953316406,3.3137542003081806,4804.75
58.80524132730016,1.820883455624344,5605
49.01937059965715,9.291445608127626,6901.2
54.566853095344136,9.09854763528674,4787.87096774
55.70028011204482,4.4147061564563375,6650
25.73282480435031,10.505908121440788,4873.80645161
44.138913015050555,11.2281798498869,3210.94545455
58.09132906632603,3.2083585839687654,8089.13513514
47.056123652601926,7.92575087022217,11105.5283019
18.75795772854596,21.375046353414763,1800
44.00452488687784,26.666666666666668,3233.0
44.87623238405724,6.2274264115805025,7917.91724138
16.544117647058822,3.3690684982996237,11970
22.95413216606291,6.256410256410256,2531.14285714
46.32973829701595,4.837613642998666,6965.8490566
53.087068160597575,55.462893805517346,19285
33.43113154290742,8.601076527845331,7161.78461538
63.63348279496184,2.9634950228940133,10225.9405941
41.308446455505276,3.3278703176572444,4902
44.138913015050555,11.2281798498869,3210.94545455
47.95541642566979,2.907298806600195,8758.27027027
44.87623238405724,6.2274264115805025,7917.91724138
17.001598958224836,3.827600882283883,8709.65079365
58.2870116131559,1.973013340060227,9350.92307692
66.31846477247888,4.204908099193823,6079.33333333
56.704851294897956,32.31962962962963,8310.96969697
56.704851294897956,32.31962962962963,8310.96969697
51.469640120293136,20.669854289101963,2188.275
27.941176470588236,4.1396096271595235,5586
21.03950403690888,5.276490066225165,3990
46.56862745098039,1.4652809038104087,4522
60.16790115255588,4.504310344827586,3990
39.22930283224402,8.507286333202048,7116.25
64.55154394953739,3.5660002131305193,7145.25490196
61.66109625668449,5.383451909105253,5472
39.682126696832576,6.845386533665835,1662.5
56.81325666810509,4.927654716738246,8143
44.138913015050555,11.2281798498869,3210.94545455
17.10156229411137,13.090983703102333,1181.47169811
17.84100596760443,12.476491904041099,900
48.434930121781335,10.920317725752508,3318.74074074
48.79600963192295,2.0936284130673775,7302.90909091
65.2858947571769,2.802159775279351,6937.05263158
44.138913015050555,11.2281798498869,3210.94545455
32.07572723115631,6.8897852464912654,5554.88695652
23.529411764705884,7.0625,5655
32.07572723115631,6.8897852464912654,5554.88695652
48.79600963192295,2.0936284130673775,7302.90909091
33.43113154290742,8.601076527845331,7161.78461538
