"traffic_co2_index","purchasing_power_incl_rent_index",rent_index
6474.285714285715,32.355678596310014,8.3624154101
13965,36.128302671189054,5.27875504044
1500,30.77812696123293,6.17158067075
266,32.26949880263707,5.15975695567
1500,30.77812696123293,6.17158067075
6513.679012345679,131.81916858133826,32.1287829384
2616.666666666667,72.09760325914047,22.1832736919
8536.181818181818,98.47023426799632,37.9419270775
7085.272727272727,120.63682042489796,31.6785570882
1824,46.83488377222082,10.233455394
5564.615384615385,123.50617089823588,46.9053690032
2660,65.99456865121401,12.3233853813
5805.314285714286,126.55057630037916,36.1330427605
5554,38.01205335946738,5.99112223479
2126.5555555555557,69.29041886661246,20.7145572482
3135.333333333333,89.18557767777297,47.7446244961
7980,18.781413991586643,12.1104519578
9439.589743589744,128.26729872034073,39.8347002234
6079.333333333334,87.82224492555596,41.2078194776
6901.200000000002,131.57292520261336,108.48860818
3210.9454545454546,99.99999999999997,100
4804.75,133.74302110413427,36.7326852874
5605,120.28657055303577,26.7706317451
6901.200000000002,131.57292520261336,108.48860818
4787.8709677419365,95.69315388726334,29.4558622836
6650,116.68326852267646,20.1945755907
4873.806451612903,89.25454981139505,23.5241647187
3210.9454545454546,99.99999999999997,100
8089.135135135135,116.68815079840056,46.2990907527
11105.528301886794,108.72813121709099,71.1587741308
1800,61.29525416029663,12.9911388801
3233.0000000000005,10.777032832658149,32.5111669392
7917.91724137931,137.6343179522255,64.3415166064
11970,117.25634043357172,67.212677947
2531.142857142857,126.41838749953314,22.4114252579
6965.849056603773,124.5450714148292,49.9402560289
19285,12.556985665604445,35.4172498248
7161.784615384616,118.6373082324226,75.6637532436
10225.940594059404,143.69056038215,46.8068554103
4902,115.38967975503893,29.7447599896
3210.9454545454546,99.99999999999997,100
8758.27027027027,136.59606497909104,48.6417139009
7917.91724137931,137.6343179522255,64.3415166064
8709.650793650793,145.6052029446711,40.7424797606
9350.923076923076,132.02763665194993,31.2482548828
6079.333333333334,87.82224492555596,41.2078194776
8310.969696969698,27.586022409551692,13.4014712198
8310.969696969698,27.586022409551692,13.4014712198
2188.275,95.61800830953707,70.268052954
5586,103.3525541236074,24.8691476206
3990,119.93747206564392,20.1313185863
4522,130.78849892495197,20.1321671215
3990,37.56490009102188,16.6793334609
7116.25,101.85716637937317,22.1406606052
7145.254901960784,131.27397346906855,52.8292297738
5472,58.07780059696629,13.9937190442
1662.5,93.60722029948177,23.729276341
8143,123.45574311283573,72.3593562631
3210.9454545454546,99.99999999999997,100
