"health_care_index","restaurant_price_index",cpi_index
58.9168078298513,21.204638689960557,33.3962870679
36.111111111111114,12.703982222300223,32.5875263041
53.888888888888886,14.915951495870175,31.2993776331
59.72222222222222,12.074203339276805,30.0970324343
53.888888888888886,14.915951495870175,31.2993776331
76.87505064087344,78.89752959274064,75.4625711591
60.64814814814814,79.56091269199963,79.9168023137
80.15432098765433,68.37208420542392,70.7523544738
69.17989417989418,60.31225186199294,63.1656371302
35.87962962962963,33.55415391590541,40.5682628313
75,64.89636664978664,71.410569557
47.77777777777778,57.29784402860941,57.3653730706
75.27889784946235,66.07264820140932,66.468250334
37.91812214443262,20.51910512645323,33.1145519177
59.0689361836145,40.97459868827689,48.4325783726
74.75835250789257,84.51129228520784,84.2329519634
41.20370370370371,25.616847199691218,43.1858290533
66.6908831908832,71.96670962893187,69.3564190731
66.42361111111111,76.0375809198182,82.2476974359
70.67693973439941,93.51422064609748,92.3859908893
63.51939787874773,100,100
79.14230019493178,64.91593894304008,63.6933284086
76.06209150326798,60.393317750031514,63.3275052658
70.67693973439941,93.51422064609748,92.3859908893
77.70092967461389,84.88196195827541,68.7016185869
84.72222222222223,63.118363553992005,62.4215290242
58.95771250177381,48.818803904551444,48.7946538622
63.51939787874773,100,100
72.94175332968436,75.22524577231646,80.6375590411
65.86852946192488,86.83453416484598,79.7862716704
87.62626262626263,27.187881651982533,62.3870906169
52.53086419753086,27.137123458112477,54.523887618
71.79785158732528,82.52432756982398,84.8283186479
77.77777777777777,73.41972878275385,108.208122571
83.73015873015873,57.072373467715295,65.4445993792
69.56821887639497,72.53860453119383,75.2912217443
63.58618233618233,31.29996046952111,51.8133093043
75.60773777879041,82.57931767112355,83.6703329706
64.21283887747303,72.21754461181233,72.483854361
37.03703703703704,61.837697764946334,67.9098895235
63.51939787874773,100,100
60.298895386614696,77.82034538848143,68.0113205475
71.79785158732528,82.52432756982398,84.8283186479
66.38628340828983,47.14878236958395,51.4524646423
74.82752360203341,69.17003960211217,69.7359577823
66.42361111111111,76.0375809198182,82.2476974359
57.51833195694431,34.605416745641634,42.1565551299
57.51833195694431,34.605416745641634,42.1565551299
67.85959602219086,86.08655880830051,81.6550862144
87.5,71.36850204108491,66.4612498384
64.35185185185186,78.80688592362948,69.0324841369
75,69.87258653419097,79.1745756179
36.111111111111114,44.93771100478427,63.5191329976
65.51627384960719,70.19856938614046,64.4584713886
68.1774277892276,80.9105290027638,78.6917558849
51.587301587301596,43.94152256442542,68.5747994897
83.56481481481481,73.67824926057344,64.5690523638
71.57818100358423,86.7112027866545,93.1329625805
63.51939787874773,100,100
80.4083757373231,52.73364223542676,86.6704264641
88.88888888888889,76.03231235887561,78.2333147031
63.10025542784163,31.312043107994512,34.9306969018
68.63425925925925,64.86805808246856,65.1220533733
66.45622895622897,76.29359329056716,71.1346754184
63.51939787874773,100,100
62.363764143241205,59.58457669348144,62.7280670596
50,52.58200951148467,62.4293891015
62.363764143241205,59.58457669348144,62.7280670596
68.63425925925925,64.86805808246856,65.1220533733
