"quality_of_life_index","purchasing_power_incl_rent_index",restaurant_price_index
96.19736540918561,32.355678596310014,21.20463869
93.40011252228844,36.128302671189054,12.7039822223
70.1318322614941,30.77812696123293,14.9159514959
110.724228328036,32.26949880263707,12.0742033393
70.1318322614941,30.77812696123293,14.9159514959
193.58996133232506,131.81916858133826,78.8975295927
164.17449197809614,72.09760325914047,79.560912692
187.79367540721447,98.47023426799632,68.3720842054
178.62438786701898,120.63682042489796,60.312251862
131.62112692826858,46.83488377222082,33.5541539159
202.09265888574012,123.50617089823588,64.8963666498
158.38454789340304,65.99456865121401,57.2978440286
193.65371180398165,126.55057630037916,66.0726482014
60.61423195415534,38.01205335946738,20.5191051265
150.37570718028647,69.29041886661246,40.9745986883
124.94675745227464,89.18557767777297,84.5112922852
70.12262045829243,18.781413991586643,25.6168471997
185.96040322852753,128.26729872034073,71.9667096289
143.19491262955523,87.82224492555596,76.0375809198
174.18832200990462,131.57292520261336,93.5142206461
139.13450698620883,99.99999999999997,100
203.32485264567745,133.74302110413427,64.915938943
189.40775243881572,120.28657055303577,60.39331775
174.18832200990462,131.57292520261336,93.5142206461
146.62238390922386,95.69315388726334,84.8819619583
182.23750757253902,116.68326852267646,63.118363554
167.2776658012378,89.25454981139505,48.8188039046
139.13450698620883,99.99999999999997,100
155.65275411194742,116.68815079840056,75.2252457723
147.89161658926858,108.72813121709099,86.8345341648
133.79794371064895,61.29525416029663,27.187881652
69.34972253972344,10.777032832658149,27.1371234581
186.3188884449029,137.6343179522255,82.5243275698
182.26868525226877,117.25634043357172,73.4197287828
207.72941799173458,126.41838749953314,57.0723734677
187.47992124441782,124.5450714148292,72.5386045312
14.777894292138331,12.556985665604445,31.2999604695
179.5965180542745,118.6373082324226,82.5793176711
168.6947823776077,143.69056038215,72.2175446118
191.82753635594173,115.38967975503893,61.8376977649
139.13450698620883,99.99999999999997,100
177.51782402687482,136.59606497909104,77.8203453885
186.3188884449029,137.6343179522255,82.5243275698
178.0185118916881,145.6052029446711,47.1487823696
184.6187051783948,132.02763665194993,69.1700396021
143.19491262955523,87.82224492555596,76.0375809198
72.09030220515312,27.586022409551692,34.6054167456
72.09030220515312,27.586022409551692,34.6054167456
126.76783330982956,95.61800830953707,86.0865588083
202.5755946521854,103.3525541236074,71.3685020411
198.29293210667976,119.93747206564392,78.8068859236
200.3439506571951,130.78849892495197,69.8725865342
86.60734353258655,37.56490009102188,44.9377110048
173.9101515039942,101.85716637937317,70.1985693861
159.2169551551744,131.27397346906855,80.9105290028
139.43628342004092,58.07780059696629,43.9415225644
200.62460739468986,93.60722029948177,73.6782492606
165.5808846281714,123.45574311283573,86.7112027867
139.13450698620883,99.99999999999997,100
171.84944301446671,103.68537915321747,52.7336422354
173.36597671774499,84.60301803719557,76.0323123589
95.28130430383897,48.28525081768795,31.312043108
180.98682136491504,120.36217248179244,64.8680580825
159.50568808192432,100.4878476200258,76.2935932906
139.13450698620883,99.99999999999997,100
164.53243543662356,109.92684957951946,59.5845766935
165.1275091910033,80.3411744865382,52.5820095115
164.53243543662356,109.92684957951946,59.5845766935
180.98682136491504,120.36217248179244,64.8680580825
179.5965180542745,118.6373082324226,82.5793176711
156.6421987345604,138.6298304477653,72.0258688107
96.28317505014378,35.74087815682752,39.1033576178
173.38601002119998,97.96183780598746,68.6345115742
165.5808846281714,123.45574311283573,86.7112027867
192.46017895920127,96.6741334565897,67.2433525417
136.6927849283157,38.7366369588492,23.2206400943
85.66708110881675,37.75939482907931,28.904087861
104.81666863924188,38.015525132979846,34.9814821286
124.07643894745934,43.33942691010697,26.4490605726
87.17931404272295,38.155630460232814,25.464854269
155.20051523132747,43.097619252463346,21.8590861872
95.50752829471347,24.011088572984566,42.1858205475
136.10175215666044,58.11745883300369,40.4325047052
141.8332419826858,78.1593262083418,58.6039326811
150.66171861274233,85.21988634099672,83.1465453297
122.15471517265372,50.21578829962967,28.4271894629
182.37377572150027,138.97203643819546,70.9147343058
180.34183355352235,110.57445423605262,72.4412067832
164.53243543662356,109.92684957951946,59.5845766935
0,23.645801569531105,29.5087502671
139.6593167573717,86.88520764336623,94.2008832431
159.2169551551744,131.27397346906855,80.9105290028
182.37377572150027,138.97203643819546,70.9147343058
192.48454883203806,100.20994450633043,61.5775345667
196.9287727777812,104.31594622727147,64.4775306915
186.26029924350868,108.33933391723517,84.7054731954
139.13450698620883,99.99999999999997,100
107.01214537402032,36.99257596148193,26.395048931
128.04620284205348,68.98030521873319,16.9311709865
99.75932298417213,75.10773221674654,25.8065979747
183.73869365737627,130.97896881053487,62.2428999614
188.97355893991443,107.06283747418273,65.350219238
206.60428423166053,131.7688767540993,77.2408571912
109.2798096063441,95.27830326879786,41.9739296044
137.22663078429923,64.85531135877478,57.4634585806
145.48345545759005,73.23920473939664,42.2181149909
141.60057896377515,90.90499714820757,38.2440164077
127.9407551990822,89.16884240712352,42.8280391575
186.5234675667252,109.57637279249523,68.0737270328
112.85905742657836,77.65826064259738,36.7294644292
144.77033625192254,68.5759676919725,35.9540336932
132.07390217835714,77.09771268383902,42.0720267912
93.54465699559653,69.36658901009544,37.7588566097
94.44589546321141,66.86769122562565,43.24990748
126.76783330982956,95.61800830953707,86.0865588083
165.3279375172205,113.54549361872479,71.1455375292
143.19491262955523,87.82224492555596,76.0375809198
178.0185118916881,145.6052029446711,47.1487823696
96.79396627294534,30.5104201703204,29.9363143237
133.56058689735687,57.486800906537425,12.2717662192
191.98441527610626,84.84313241831435,52.4930879732
174.18832200990462,131.57292520261336,93.5142206461
