"restaurant_price_index","cpi_and_rent_index",rent_index
21.204638689960557,21.46402542389042,8.3624154101
12.703982222300223,19.570945874633768,5.27875504044
14.915951495870175,19.32234699271923,6.17158067075
12.074203339276805,18.210812844833818,5.15975695567
14.915951495870175,19.32234699271923,6.17158067075
78.89752959274064,54.80775171514155,32.1287829384
79.56091269199963,52.39842327256874,22.1832736919
68.37208420542392,55.113438939852564,37.9419270775
60.31225186199294,48.1574880670707,31.6785570882
33.55415391590541,26.109338370511377,10.233455394
64.89636664978664,59.73029618002631,46.9053690032
57.29784402860941,35.8963494444789,12.3233853813
66.07264820140932,52.0091351503668,36.1330427605
20.51910512645323,20.186313565923772,5.99112223479
40.97459868827689,35.220931175899985,20.7145572482
84.51129228520784,66.84098494193952,47.7446244961
25.616847199691218,28.373916007754996,12.1104519578
71.96670962893187,55.28504895862748,39.8347002234
76.0375809198182,62.686258105591634,41.2078194776
93.51422064609748,100.06121768975405,108.48860818
100,100,100
64.91593894304008,50.84268140475977,36.7326852874
60.393317750031514,45.902866132952305,26.7706317451
93.51422064609748,100.06121768975405,108.48860818
84.88196195827541,49.9953377914928,29.4558622836
63.118363553992005,42.29427648871935,20.1945755907
48.818803904551444,36.74960975341003,23.5241647187
100,100,100
75.22524577231646,64.27031095128596,46.2990907527
86.83453416484598,75.67402090138286,71.1587741308
27.187881651982533,38.84277320828991,12.9911388801
27.137123458112477,44.031641503385224,32.5111669392
82.52432756982398,75.0633935276183,64.3415166064
73.41972878275385,88.66786215302598,67.212677947
57.072373467715295,44.93306604522089,22.4114252579
72.53860453119383,63.20781890595205,49.9402560289
31.29996046952111,43.99821484689018,35.4172498248
82.57931767112355,79.85403937117518,75.6637532436
72.21754461181233,60.245049516876314,46.8068554103
61.837697764946334,49.71868372434511,29.7447599896
100,100,100
77.82034538848143,58.77890066420907,48.6417139009
82.52432756982398,75.0633935276183,64.3415166064
47.14878236958395,46.347607368957455,40.7424797606
69.17003960211217,51.390999105838695,31.2482548828
76.0375809198182,62.686258105591634,41.2078194776
34.605416745641634,28.450597477762663,13.4014712198
34.605416745641634,28.450597477762663,13.4014712198
86.08655880830051,76.22751743604171,70.268052954
71.36850204108491,46.63659575489325,24.8691476206
78.80688592362948,45.724003929634726,20.1313185863
69.87258653419097,51.03232595306165,20.1321671215
44.93771100478427,41.19319192606559,16.6793334609
70.19856938614046,44.287912180989,22.1406606052
80.9105290027638,66.3645205075309,52.8292297738
43.94152256442542,42.55901808800864,13.9937190442
73.67824926057344,45.10299055570511,23.729276341
86.7112027866545,83.23133372910702,72.3593562631
100,100,100
52.73364223542676,62.82701901209268,36.6469841489
76.03231235887561,54.59206849508266,28.634006453
31.312043107994512,23.535044502389187,11.0226308423
64.86805808246856,47.83239295136145,28.848365038
76.29359329056716,54.562608815971736,36.3664981184
100,100,100
59.58457669348144,44.51393459973454,24.5148374169
52.58200951148467,41.72329908154164,18.9880352694
59.58457669348144,44.51393459973454,24.5148374169
64.86805808246856,47.83239295136145,28.848365038
82.57931767112355,79.85403937117518,75.6637532436
72.02586881072257,51.57741528074122,35.2554732163
39.10335761783112,34.7826678572379,11.3212043108
68.63451157419259,56.3356373239185,39.5008122779
86.7112027866545,83.23133372910702,72.3593562631
