"safety_index","cpi_index",groceries_index
50.438705911264655,33.396287067895756,34.4738295013
42.64705882352941,32.58752630407058,38.7945673986
57.94817927170868,31.299377633052845,31.4018131138
47.279411764705884,30.097032434342257,32.3896725814
57.94817927170868,31.299377633052845,31.4018131138
56.3920848849394,75.46257115907765,67.8523548242
74.34640522875816,79.9168023137466,72.5344881698
65.07002801120449,70.75235447381445,72.4313048306
43.70915032679739,63.16563713016098,57.7786805646
49.259319112260286,40.568262831349415,32.7719253677
79.15477852647766,71.4105695569597,69.8324904123
69.0745528980823,57.3653730705862,48.2884254029
57.64190196266203,66.46825033396945,60.1954959417
32.764833972283384,33.114551917661736,30.0567522312
69.59228109447692,48.43257837264883,41.0464397636
48.01419758224244,84.23295196338731,76.1945627914
17.442810457516345,43.1858290533325,42.5083645307
52.20307450400708,69.35641907308384,68.146835095
33.68153522752114,82.2476974358723,86.3080834618
50.98062940034285,92.38599088931353,94.8412616527
55.86108698494943,100,100
72.40715704668361,63.693328408564874,58.6215860468
41.19475867269985,63.327505265816086,63.4056417388
50.98062940034285,92.38599088931353,94.8412616527
45.433146904655864,68.7016185869489,51.3756088164
44.29971988795518,62.42152902420822,56.9192914351
74.26717519564968,48.79465386220367,41.6942578723
55.86108698494943,100,100
41.90867093367397,80.63755904108868,80.9201881086
52.943876347398074,79.78627167037833,75.8837326272
81.24204227145404,62.387090616945976,73.5992004058
55.99547511312216,54.523887618005205,44.4856586245
55.12376761594277,84.82831864786249,82.4191011148
83.45588235294117,108.20812257121868,127.671399998
77.0458678339371,65.444599379238,51.0917019314
53.67026170298406,75.29122174427002,72.7427850538
46.91293183940243,51.81330930427174,46.1225220994
66.56886845709259,83.67033297059498,83.7084834738
36.36651720503815,72.48385436098289,68.4648055833
58.691553544494724,67.90988952346441,66.6069428086
55.86108698494943,100,100
52.04458357433021,68.0113205475039,64.2353862576
55.12376761594277,84.82831864786249,82.4191011148
82.99840104177514,51.452464642291915,38.7575413783
41.712988386844096,69.73595778227512,69.5745720396
33.68153522752114,82.2476974358723,86.3080834618
43.295148705102044,42.15655512992071,37.5509284003
43.295148705102044,42.15655512992071,37.5509284003
48.53035987970687,81.65508621444,60.7639293353
72.05882352941177,66.46124983838601,60.1711380021
78.96049596309112,69.03248413687002,52.4187682404
53.43137254901961,79.17457561793132,82.7962647947
39.832098847444115,63.519132997616644,80.0153845172
60.77069716775598,64.45847138862,51.5486659765
35.44845605046263,78.69175588487997,74.4450576791
38.338903743315505,68.57479948974381,84.4096372657
60.317873303167424,64.56905236377052,55.8677287378
43.18674333189491,93.13296258048321,99.6441836074
55.86108698494943,100,100
82.89843770588861,86.67042646412803,87.197763125
82.15899403239555,78.23331470313805,73.4345708477
51.565069878218665,34.93069690183388,29.0383472942
51.20399036807705,65.12205337330758,66.9114594774
34.71410524282309,71.13467541835358,67.9594055304
55.86108698494943,100,100
67.92427276884371,62.72806705961762,61.9626297916
76.47058823529412,62.42938910148287,62.1428116744
67.92427276884371,62.72806705961762,61.9626297916
51.20399036807705,65.12205337330758,66.9114594774
66.56886845709259,83.67033297059498,83.7084834738
46.12758441959711,66.44258704557105,61.4564051776
44.949780611545314,56.15014264030979,55.9514569917
51.5917905623788,71.66791610251472,68.9764467974
43.18674333189491,93.13296258048321,99.6441836074
73.87700534759358,66.17270661030837,64.7428764487
61.97164172686618,33.20781665752953,27.5566077095
45.49240959624011,36.28131643114544,30.0044260031
54.68648998060762,39.635754394830215,33.133115253
64.298273657289,38.54635740402228,33.9599200428
48.46813725490196,34.46135163750662,29.2549391901
63.72549019607844,31.005694136783195,28.4919589695
45.88322829131653,45.77032071446029,33.8028062224
28.41029355286169,46.31937726411391,43.0067127692
55.48420595935033,60.3850368959886,48.162499717
47.194763878509605,80.8921119004823,80.1141752791
42.215314351095344,32.24684868006232,31.0796876549
34.3043997139886,67.41281684051268,63.29693913
51.7156862745098,75.03344929904435,76.1007645909
67.92427276884371,62.72806705961762,61.9626297916
80.48264324887043,34.93366992277807,30.3972851344
61.94818861916289,91.03523602345145,87.7617841354
35.44845605046263,78.69175588487997,74.4450576791
34.3043997139886,67.41281684051268,63.29693913
67.75237978700376,67.14690080040614,67.2536525558
61.37249449279154,68.64084084790304,53.2780962309
77.59095894645792,78.1403093159733,62.7619994669
55.86108698494943,100,100
60.89756877711864,56.473731133854066,60.9846069954
64.97324615461352,23.67066342116773,23.796943774
39.37549096245885,40.342511201345886,41.3726221693
58.846153846153854,61.75081545068881,56.3458224455
73.39326555657826,64.5648656680971,58.8964752408
82.77982182587445,82.59220365012901,82.0966916616
18.89589169000934,48.20012946989652,44.1134209512
19.018747850017203,53.29920987239569,41.2919604208
29.849385472962876,42.980408137187474,35.4171403069
20.17880864450845,40.12516157454229,32.1060583145
19.78314900287051,45.48722306678604,35.265734941
60.28437571200728,68.91186173910647,58.9025985006
17.64677960653558,42.8451494206491,35.8844250105
23.97767068222237,42.023796544927436,34.6775779152
19.74952147690904,46.24204991264349,34.1398100301
15.728291316526615,40.509981835425435,35.5910640398
23.663101604278072,46.660628855445715,33.5539226328
48.53035987970687,81.65508621444,60.7639293353
44.82613214141191,67.30962120246873,63.6259435306
33.68153522752114,82.2476974358723,86.3080834618
82.99840104177514,51.452464642291915,38.7575413783
36.961477540557055,38.94921948750579,29.8575901096
77.03208556149733,22.078025067179716,21.4686963091
79.35229238754326,58.892956867701244,49.6213588756
50.98062940034285,92.38599088931353,94.8412616527
52.20307450400708,69.35641907308384,68.146835095
68.84330094142285,69.58465717704809,58.7324136631
54.99525616698293,65.77462609005994,59.0399575072
41.19475867269985,63.327505265816086,63.4056417388
89.8001508295626,56.57818904371032,42.8892416814
20.489168413696717,42.35951643163749,34.2500785559
58.846153846153854,61.75081545068881,56.3458224455
