"pollution_index","crime_index",traffic_time_index
65.56407449510897,49.561294088735345,44.7142857143
51.14942528735632,57.35294117647059,55.5
78.44827586206897,42.05182072829131,105
72.41379310344827,52.720588235294116,13.5
78.44827586206897,42.05182072829131,105
24.86248827857746,43.60791511506059,39.2592592593
36.206896551724135,25.65359477124183,30
17.61199528440908,34.92997198879552,40.2727272727
30.986590038314176,56.290849673202615,37.5454545455
45.55988973838872,50.740680887739714,17.2857142857
18.026819923371644,20.845221473522333,25.0769230769
46.43678160919541,30.925447101917683,20
24.818361095262098,42.358098037337975,28.4857142857
93.19044387286844,67.23516602771663,61.98
44.96778126088472,30.407718905523076,30.6111111111
67.70592092928678,51.98580241775757,43.3133333333
71.55172413793103,82.55718954248366,43.3333333333
27.351258803622066,47.79692549599292,36.2307692308
49.62106858658583,66.31846477247888,36.4666666667
34.6136016415596,49.01937059965715,46.0307692308
56.90524640892976,44.138913015050555,43.1852272727
20.780359820089956,27.592842953316406,23.4166666667
25.727969348659,58.80524132730016,21.7142857143
34.6136016415596,49.01937059965715,46.0307692308
56.57717186576726,54.566853095344136,41.4935483871
22.623152709359605,55.70028011204482,25
38.90374252443218,25.73282480435031,20.4516129032
56.90524640892976,44.138913015050555,43.1852272727
51.8249279456176,58.09132906632603,42.6486486486
60.78569048829195,47.056123652601926,47.6509433962
78.53999503628269,18.75795772854596,30
82.31430976489847,44.00452488687784,58.5
28.60350316023552,44.87623238405724,43.6275862069
38.793103448275865,16.544117647058822,45
21.39498432601881,22.95413216606291,29.8571428571
26.15760464577059,46.32973829701595,34.095754717
96.87563896573907,53.087068160597575,72.5
24.928973700226894,33.43113154290742,43.4153846154
44.69734452533359,63.63348279496184,45.099009901
9.523809523809524,41.308446455505276,23.0
56.90524640892976,44.138913015050555,43.1852272727
40.637110802836126,47.95541642566979,36.2702702703
28.60350316023552,44.87623238405724,43.6275862069
53.04086751559518,17.001598958224836,41.4021164021
32.560732017891986,58.2870116131559,35.1923076923
49.62106858658583,66.31846477247888,36.4666666667
77.76306230489261,56.704851294897956,56.9696969697
77.76306230489261,56.704851294897956,56.9696969697
59.530144671706346,51.469640120293136,47.56875
12.068965517241379,27.941176470588236,26
13.448275862068968,21.03950403690888,25
25,46.56862745098039,17
93.96551724137932,60.16790115255588,42.5
24.032193859780065,39.22930283224402,43.75
40.89287869653736,64.55154394953739,43.2549019608
48.91409558378706,61.66109625668449,21.8571428571
17.93103448275862,39.682126696832576,10
39.26385730569005,56.81325666810509,41.6290322581
56.90524640892976,44.138913015050555,43.1852272727
44.3891419993281,17.10156229411137,40.6132075472
35.3448275862069,17.84100596760443,37.5
73.79607609988109,48.434930121781335,37.1111111111
40.22297147297148,48.79600963192295,27.4545454545
30.879354029279064,65.2858947571769,28.8947368421
56.90524640892976,44.138913015050555,43.1852272727
32.42130145532908,32.07572723115631,42.052173913
5.172413793103448,23.529411764705884,48
32.42130145532908,32.07572723115631,42.052173913
40.22297147297148,48.79600963192295,27.4545454545
24.928973700226894,33.43113154290742,43.4153846154
60.97023566668008,53.87241558040289,32.5735294118
61.47898318156938,55.05021938845469,68
38.438802576733615,48.40820943762121,24.8
39.26385730569005,56.81325666810509,41.6290322581
5.603448275862069,26.122994652406422,10
37.35632183908046,38.02835827313381,26.4
81.09761677602756,54.50759040375989,50.3846153846
73.81476156430784,45.31351001939238,15
35.67112963664688,35.701726342711,48.4545454545
64.19129720853859,51.53186274509804,70
0,36.27450980392157,22.5
73.16091954022988,54.116771708683466,28.3333333333
40.312288708586884,71.5897064471383,29.375
65.72979471287246,44.51579404064969,31.7234042553
37.910656960711755,52.805236121490395,43.7380952381
69.77929102675554,57.78468564890465,40.541
36.42143503147212,65.69560028601141,27.5
16.666666666666664,48.2843137254902,30.3636363636
32.42130145532908,32.07572723115631,42.052173913
37.068965517241374,19.517356751129576,16
48.07993730407523,38.0518113808371,44.5833333333
40.89287869653736,64.55154394953739,43.2549019608
36.42143503147212,65.69560028601141,27.5
16.428669001578026,32.24762021299624,31
16.379310344827587,38.62750550720845,21.5384615385
12.795760535150448,22.409041053542083,35.92
56.90524640892976,44.138913015050555,43.1852272727
72.26311010550442,39.10243122288134,29.1111111111
77.18192169096072,35.02675384538648,44.188034188
80.38395996907259,60.624509037541145,34.9285714286
31.516087834219093,41.15384615384615,23.7
22.148541114058354,26.606734443421743,20.375
37.6828631138976,17.220178174125543,25.3076923077
