"traffic_inefficiency_index","traffic_co2_index",rent_index
166.38907398348516,6474.285714285715,8.3624154101
371.82498419386616,13965,5.27875504044
372.0265597899875,1500,6.17158067075
1.813957826276278,266,5.15975695567
372.0265597899875,1500,6.17158067075
201.14696550151683,6513.679012345679,32.1287829384
61.98974441525068,2616.666666666667,22.1832736919
363.3671509078083,8536.181818181818,37.9419270775
277.377078563341,7085.272727272727,31.6785570882
33.39761311931467,1824,10.233455394
114.60367866389478,5564.615384615385,46.9053690032
37.06598363555905,2660,12.3233853813
158.32121744318394,5805.314285714286,36.1330427605
374.00312410828,5554,5.99112223479
143.94958150047935,2126.5555555555557,20.7145572482
154.66859352824886,3135.333333333333,47.7446244961
172.96489390209504,7980,12.1104519578
207.3144548296685,9439.589743589744,39.8347002234
202.9436143612259,6079.333333333334,41.2078194776
274.19919123414735,6901.200000000002,108.48860818
183.88187452140292,3210.9454545454546,100
116.069551045307,4804.75,36.7326852874
118.95021611752185,5605,26.7706317451
274.19919123414735,6901.200000000002,108.48860818
157.6642540040895,4787.8709677419365,29.4558622836
79.93079532868737,6650,20.1945755907
83.50017804867679,4873.806451612903,23.5241647187
183.88187452140292,3210.9454545454546,100
294.4371320607749,8089.135135135135,46.2990907527
317.4125887712441,11105.528301886794,71.1587741308
129.44031146360567,1800,12.9911388801
274.11933326709476,3233.0000000000005,32.5111669392
270.507464681922,7917.91724137931,64.3415166064
257.87633350691885,11970,67.212677947
92.83740849206927,2531.142857142857,22.4114252579
168.71333460436924,6965.849056603773,49.9402560289
906.0743650621923,19285,35.4172498248
216.9105865970664,7161.784615384616,75.6637532436
248.8439751970224,10225.940594059404,46.8068554103
112.42369959257633,4902,29.7447599896
183.88187452140292,3210.9454545454546,100
211.52592255059434,8758.27027027027,48.6417139009
270.507464681922,7917.91724137931,64.3415166064
285.8685689055463,8709.650793650793,40.7424797606
222.85030619351272,9350.923076923076,31.2482548828
202.9436143612259,6079.333333333334,41.2078194776
295.48271141851393,8310.969696969698,13.4014712198
295.48271141851393,8310.969696969698,13.4014712198
211.0677880169931,2188.275,70.268052954
73.83277389007476,5586,24.8691476206
48.801686362455385,3990,20.1313185863
47.02896460688011,4522,20.1321671215
106.02798304424346,3990,16.6793334609
188.24357611142867,7116.25,22.1406606052
210.40957649812023,7145.254901960784,52.8292297738
87.5065198858598,5472,13.9937190442
20.476952393879078,1662.5,23.729276341
232.90093107368844,8143,72.3593562631
183.88187452140292,3210.9454545454546,100
122.05371599894602,1181.4716981132076,36.6469841489
108.35123346119693,900,28.634006453
113.01638576726106,3318.740740740741,11.0226308423
162.90143019186036,7302.909090909091,28.848365038
163.68302804769718,6937.0526315789475,36.3664981184
183.88187452140292,3210.9454545454546,100
197.69688673814082,5554.88695652174,24.5148374169
159.65057966923618,5655,18.9880352694
197.69688673814082,5554.88695652174,24.5148374169
162.90143019186036,7302.909090909091,28.848365038
216.9105865970664,7161.784615384616,75.6637532436
175.3897005798176,7361.029411764705,35.2554732163
317.4202441004624,9500,11.3212043108
96.93788519661007,5798.8,39.5008122779
232.90093107368844,8143,72.3593562631
22.86340525097774,2660,20.0234351196
33.61206858436137,1622,7.5072526415
198.75814436445557,4503.230769230769,14.204823155
