"cpi_index","cpi_and_rent_index",restaurant_price_index
33.396287067895756,21.46402542389042,21.20463869
32.58752630407058,19.570945874633768,12.7039822223
31.299377633052845,19.32234699271923,14.9159514959
30.097032434342257,18.210812844833818,12.0742033393
31.299377633052845,19.32234699271923,14.9159514959
75.46257115907765,54.80775171514155,78.8975295927
79.9168023137466,52.39842327256874,79.560912692
70.75235447381445,55.113438939852564,68.3720842054
63.16563713016098,48.1574880670707,60.312251862
40.568262831349415,26.109338370511377,33.5541539159
71.4105695569597,59.73029618002631,64.8963666498
57.3653730705862,35.8963494444789,57.2978440286
66.46825033396945,52.0091351503668,66.0726482014
33.114551917661736,20.186313565923772,20.5191051265
48.43257837264883,35.220931175899985,40.9745986883
84.23295196338731,66.84098494193952,84.5112922852
43.1858290533325,28.373916007754996,25.6168471997
69.35641907308384,55.28504895862748,71.9667096289
82.2476974358723,62.686258105591634,76.0375809198
92.38599088931353,100.06121768975405,93.5142206461
100,100,100
63.693328408564874,50.84268140475977,64.915938943
63.327505265816086,45.902866132952305,60.39331775
92.38599088931353,100.06121768975405,93.5142206461
68.7016185869489,49.9953377914928,84.8819619583
62.42152902420822,42.29427648871935,63.118363554
48.79465386220367,36.74960975341003,48.8188039046
100,100,100
80.63755904108868,64.27031095128596,75.2252457723
79.78627167037833,75.67402090138286,86.8345341648
62.387090616945976,38.84277320828991,27.187881652
54.523887618005205,44.031641503385224,27.1371234581
84.82831864786249,75.0633935276183,82.5243275698
108.20812257121868,88.66786215302598,73.4197287828
65.444599379238,44.93306604522089,57.0723734677
75.29122174427002,63.20781890595205,72.5386045312
51.81330930427174,43.99821484689018,31.2999604695
83.67033297059498,79.85403937117518,82.5793176711
72.48385436098289,60.245049516876314,72.2175446118
67.90988952346441,49.71868372434511,61.8376977649
100,100,100
68.0113205475039,58.77890066420907,77.8203453885
84.82831864786249,75.0633935276183,82.5243275698
51.452464642291915,46.347607368957455,47.1487823696
69.73595778227512,51.390999105838695,69.1700396021
82.2476974358723,62.686258105591634,76.0375809198
42.15655512992071,28.450597477762663,34.6054167456
42.15655512992071,28.450597477762663,34.6054167456
81.65508621444,76.22751743604171,86.0865588083
