"groceries_index","cpi_index",cpi_and_rent_index
34.47382950131808,33.396287067895756,21.4640254239
38.79456739856502,32.58752630407058,19.5709458746
31.401813113772466,31.299377633052845,19.3223469927
32.38967258137308,30.097032434342257,18.2108128448
31.401813113772466,31.299377633052845,19.3223469927
67.85235482424685,75.46257115907765,54.8077517151
72.53448816982309,79.9168023137466,52.3984232726
72.4313048305765,70.75235447381445,55.1134389399
57.77868056455478,63.16563713016098,48.1574880671
32.77192536770566,40.568262831349415,26.1093383705
69.83249041225056,71.4105695569597,59.73029618
48.28842540286463,57.3653730705862,35.8963494445
60.19549594170759,66.46825033396945,52.0091351504
30.05675223120526,33.114551917661736,20.1863135659
41.04643976360874,48.43257837264883,35.2209311759
76.19456279144383,84.23295196338731,66.8409849419
42.50836453073581,43.1858290533325,28.3739160078
68.14683509496147,69.35641907308384,55.2850489586
86.30808346184384,82.2476974358723,62.6862581056
94.84126165265376,92.38599088931353,100.06121769
100,100,100
58.62158604676747,63.693328408564874,50.8426814048
63.40564173879505,63.327505265816086,45.902866133
94.84126165265376,92.38599088931353,100.06121769
51.375608816365514,68.7016185869489,49.9953377915
56.91929143511363,62.42152902420822,42.2942764887
41.69425787233883,48.79465386220367,36.7496097534
100,100,100
80.92018810862076,80.63755904108868,64.2703109513
75.88373262716586,79.78627167037833,75.6740209014
73.59920040583818,62.387090616945976,38.8427732083
44.485658624489794,54.523887618005205,44.0316415034
82.4191011147822,84.82831864786249,75.0633935276
127.671399997851,108.20812257121868,88.667862153
51.09170193136029,65.444599379238,44.9330660452
72.742785053838,75.29122174427002,63.207818906
46.122522099419555,51.81330930427174,43.9982148469
83.70848347375414,83.67033297059498,79.8540393712
68.46480558329384,72.48385436098289,60.2450495169
66.60694280863541,67.90988952346441,49.7186837243
100,100,100
64.23538625761303,68.0113205475039,58.7789006642
82.4191011147822,84.82831864786249,75.0633935276
38.757541378346374,51.452464642291915,46.347607369
69.57457203957121,69.73595778227512,51.3909991058
86.30808346184384,82.2476974358723,62.6862581056
37.55092840034922,42.15655512992071,28.4505974778
37.55092840034922,42.15655512992071,28.4505974778
60.76392933531206,81.65508621444,76.227517436
60.171138002145405,66.46124983838601,46.6365957549
52.41876824042809,69.03248413687002,45.7240039296
82.796264794656,79.17457561793132,51.0323259531
80.01538451719709,63.519132997616644,41.1931919261
51.54866597653843,64.45847138862,44.287912181
74.44505767913029,78.69175588487997,66.3645205075
84.40963726571195,68.57479948974381,42.559018088
55.86772873784742,64.56905236377052,45.1029905557
99.64418360740491,93.13296258048321,83.2313337291
100,100,100
87.19776312503303,86.67042646412803,62.8270190121
73.4345708477481,78.23331470313805,54.5920684951
29.03834729418332,34.93069690183388,23.5350445024
66.9114594773776,65.12205337330758,47.8323929514
67.9594055303667,71.13467541835358,54.562608816
100,100,100
61.96262979164809,62.72806705961762,44.5139345997
62.142811674436246,62.42938910148287,41.7232990815
61.96262979164809,62.72806705961762,44.5139345997
66.9114594773776,65.12205337330758,47.8323929514
83.70848347375414,83.67033297059498,79.8540393712
61.45640517762496,66.44258704557105,51.5774152807
55.95145699169025,56.15014264030979,34.7826678572
68.9764467974246,71.66791610251472,56.3356373239
99.64418360740491,93.13296258048321,83.2313337291
64.7428764487339,66.17270661030837,44.1759020555
27.55660770945139,33.20781665752953,20.9577796505
30.00442600312212,36.28131643114544,25.7586734475
33.13311525296217,39.635754394830215,25.9977871975
33.95992004279344,38.54635740402228,26.8554568413
29.254939190123647,34.46135163750662,22.201992674
28.491958969453247,31.005694136783195,19.4740971008
33.80280622243208,45.77032071446029,33.6380535839
43.00671276924339,46.31937726411391,33.5001341303
48.16249971701542,60.3850368959886,47.0118853318
80.1141752791246,80.8921119004823,69.8164640005
31.079687654941228,32.24684868006232,21.2083356607
63.29693913002351,67.41281684051268,49.4689347853
76.10076459092143,75.03344929904435,58.5663746388
61.96262979164809,62.72806705961762,44.5139345997
30.397285134430703,34.93366992277807,24.1474358492
87.76178413542192,91.03523602345145,86.3326465761
74.44505767913029,78.69175588487997,66.3645205075
63.29693913002351,67.41281684051268,49.4689347853
67.25365255580792,67.14690080040614,52.9846914198
53.278096230917505,68.64084084790304,49.0462067224
62.76199946689316,78.1403093159733,57.197717741
100,100,100
60.98460699539775,56.473731133854066,42.4317711971
23.796943773983134,23.67066342116773,15.2175621339
41.37262216934642,40.342511201345886,29.3053612666
56.34582244554927,61.75081545068881,50.5476713372
58.89647524083684,64.5648656680971,48.7275834188
82.09669166157386,82.59220365012901,74.668018824
44.113420951210315,48.20012946989652,32.6270643885
41.291960420797565,53.29920987239569,34.8005676282
35.417140306915435,42.980408137187474,35.1205289994
32.1060583145246,40.12516157454229,27.4579768226
35.265734940952754,45.48722306678604,31.9115838776
58.902598500633694,68.91186173910647,47.3528502793
35.88442501047409,42.8451494206491,27.406884319
34.67757791522848,42.023796544927436,27.1445852885
34.139810030141604,46.24204991264349,31.2256221907
35.59106403978171,40.509981835425435,27.2737254343
33.55392263279274,46.660628855445715,33.4800095654
60.76392933531206,81.65508621444,76.227517436
63.62594353061133,67.30962120246873,51.1320720955
86.30808346184384,82.2476974358723,62.6862581056
38.757541378346374,51.452464642291915,46.347607369
29.85759010963884,38.94921948750579,30.5585366244
21.46869630909514,22.078025067179716,13.6060133923
49.62135887556761,58.892956867701244,37.9547281028
94.84126165265376,92.38599088931353,100.06121769
68.14683509496147,69.35641907308384,55.2850489586
58.732413663058466,69.58465717704809,52.0738514724
59.03995750723472,65.77462609005994,48.6571659401
63.40564173879505,63.327505265816086,45.902866133
42.88924168140391,56.57818904371032,38.2709614161
34.25007855591573,42.35951643163749,27.9752482735
56.34582244554927,61.75081545068881,50.5476713372
45.973790398497215,52.717069035710026,34.2348839637
60.043396648796524,62.58450378772187,48.6630062748
64.35038156855859,66.02027801764778,51.0855786554
20.98710354484179,26.464847369319443,17.896795368
23.747946187293813,30.21092500008781,19.3408548761
27.039306395490183,31.040788192088957,19.3133811124
80.92018810862076,80.63755904108868,64.2703109513
67.92871596112265,72.08075668515325,58.0479746754
67.92871596112265,72.08075668515325,58.0479746754
63.55202068232929,71.83345902339202,55.6279107701
60.19549594170759,66.46825033396945,52.0091351504
94.84126165265376,92.38599088931353,100.06121769
59.1365942084333,65.1420203050475,47.1432737607
76.27767886407447,76.28706708105564,61.1259849736
63.40564173879505,63.327505265816086,45.902866133
67.9594055303667,71.13467541835358,54.562608816
72.742785053838,75.29122174427002,63.207818906
69.23550787323578,71.21596357913178,61.4169224595
65.98543205888306,64.42709837756912,47.2460511032
56.256514132739554,60.66488859217003,43.4145652325
58.62158604676747,63.693328408564874,50.8426814048
59.1365942084333,65.1420203050475,47.1432737607
66.82228341925902,72.82566780440416,51.456627761
52.605563781117205,63.440231447110705,42.7014768844
54.484586828763035,66.54169633256328,47.683336217
