"property_price_to_income_ratio","safety_index",health_care_index
27.732104690819273,50.438705911264655,58.9168078299
19.9468085106383,42.64705882352941,36.1111111111
16.897233201581027,57.94817927170868,53.8888888889
18.4,47.279411764705884,59.7222222222
16.897233201581027,57.94817927170868,53.8888888889
6.235663106497721,56.3920848849394,76.8750506409
7.166890982503364,74.34640522875816,60.6481481481
4.115346069559692,65.07002801120449,80.1543209877
2.1135392765354495,43.70915032679739,69.1798941799
12.488517929694401,49.259319112260286,35.8796296296
4.121757363093707,79.15477852647766,75
7.186549812198176,69.0745528980823,47.7777777778
2.226695964668855,57.64190196266203,75.2788978495
13.47515574403859,32.764833972283384,37.9181221444
12.542459956641776,69.59228109447692,59.0689361836
18.88526145299233,48.01419758224244,74.7583525079
8.727272727272727,17.442810457516345,41.2037037037
3.0611354107742894,52.20307450400708,66.6908831909
4.204908099193823,33.68153522752114,66.4236111111
9.291445608127626,50.98062940034285,70.6769397344
11.2281798498869,55.86108698494943,63.5193978787
3.3137542003081806,72.40715704668361,79.1423001949
1.820883455624344,41.19475867269985,76.0620915033
9.291445608127626,50.98062940034285,70.6769397344
9.09854763528674,45.433146904655864,77.7009296746
4.4147061564563375,44.29971988795518,84.7222222222
10.505908121440788,74.26717519564968,58.9577125018
11.2281798498869,55.86108698494943,63.5193978787
3.2083585839687654,41.90867093367397,72.9417533297
7.92575087022217,52.943876347398074,65.8685294619
21.375046353414763,81.24204227145404,87.6262626263
26.666666666666668,55.99547511312216,52.5308641975
6.2274264115805025,55.12376761594277,71.7978515873
3.3690684982996237,83.45588235294117,77.7777777778
6.256410256410256,77.0458678339371,83.7301587302
4.837613642998666,53.67026170298406,69.5682188764
55.462893805517346,46.91293183940243,63.5861823362
8.601076527845331,66.56886845709259,75.6077377788
2.9634950228940133,36.36651720503815,64.2128388775
3.3278703176572444,58.691553544494724,37.037037037
11.2281798498869,55.86108698494943,63.5193978787
2.907298806600195,52.04458357433021,60.2988953866
6.2274264115805025,55.12376761594277,71.7978515873
3.827600882283883,82.99840104177514,66.3862834083
1.973013340060227,41.712988386844096,74.827523602
4.204908099193823,33.68153522752114,66.4236111111
32.31962962962963,43.295148705102044,57.5183319569
32.31962962962963,43.295148705102044,57.5183319569
20.669854289101963,48.53035987970687,67.8595960222
4.1396096271595235,72.05882352941177,87.5
5.276490066225165,78.96049596309112,64.3518518519
1.4652809038104087,53.43137254901961,75
4.504310344827586,39.832098847444115,36.1111111111
8.507286333202048,60.77069716775598,65.5162738496
3.5660002131305193,35.44845605046263,68.1774277892
5.383451909105253,38.338903743315505,51.5873015873
6.845386533665835,60.317873303167424,83.5648148148
4.927654716738246,43.18674333189491,71.5781810036
11.2281798498869,55.86108698494943,63.5193978787
13.090983703102333,82.89843770588861,80.4083757373
12.476491904041099,82.15899403239555,88.8888888889
10.920317725752508,51.565069878218665,63.1002554278
2.0936284130673775,51.20399036807705,68.6342592593
2.802159775279351,34.71410524282309,66.4562289562
